label,n_samples,peak_mag_g,ax_mean,ax_std,ax_min,ax_max,ay_mean,ay_std,ay_min,ay_max,az_mean,az_std,az_min,az_max,gx_mean,gx_std,gx_min,gx_max,gy_mean,gy_std,gy_min,gy_max,gz_mean,gz_std,gz_min,gz_max
still,102,0.08044992479984936,0.16346176470588236,0.011057337587903879,0.1448,0.1855,-0.08515980392156862,0.006001539995242423,-0.0969,-0.072,-1.0386480392156863,0.013546229707655923,-1.062,-1.0063,7.280333333333334,2.7248226253958774,2.188,12.719,-1.0689607843137257,2.7486687006463892,-5.469,4.344,-1.3590196078431374,1.2779265527115933,-3.75,1.75
still,102,0.08597769314107007,0.14311666666666667,0.013376274601779908,0.1001,0.1582,-0.12156764705882353,0.018904362821300116,-0.1672,-0.0916,-1.0354509803921568,0.017822868902103738,-1.0703,-1.0007,13.32106862745098,4.5471714247297195,4.812,22.781,-4.338862745098039,4.3497590107670705,-15.25,2.062,-1.3156372549019608,1.4201371156474727,-3.469,1.188
still,101,0.17450998718614574,0.10181881188118812,0.09094583929854673,-0.0037,0.3445,-0.27045742574257425,0.10089682736137455,-0.4404,-0.1487,-1.0479514851485148,0.05842601586175034,-1.1387,-0.8242,41.597158415841584,30.96682777569824,6.406,95.719,42.31622772277228,56.83766788296195,-14.312,199.594,-39.49288118811881,40.5273105410272,-112.594,-1.562
still,103,0.27721011975320664,0.8885281553398058,0.1866472002538925,0.3308,1.1743,-0.06645922330097087,0.10587745383444343,-0.2927,0.0713,-0.43050582524271847,0.18886944369638795,-0.814,-0.0984,60.25119417475728,42.429208424793046,-3.781,121.25,77.44535922330097,56.28524214289702,11.062,197.562,-73.41570873786408,36.27133165104928,-136.75,-12.906
still,101,0.23402403137054018,1.0416613861386137,0.03139964674801936,0.9971,1.1445,-0.014636633663366335,0.03294114981362999,-0.0676,0.0498,-0.270370297029703,0.02815231043946642,-0.4609,-0.2144,4.94090099009901,5.047880773852402,0.344,27.219,1.4164356435643564,6.01628636717027,-9.344,19.75,1.56990099009901,3.5276682100359196,-7.094,8.219
still,103,0.10065978394779207,1.0169000000000001,0.019955596338940073,0.9824,1.0562,-0.051349514563106796,0.015580382697708983,-0.0759,-0.0249,-0.2908912621359223,0.019865084297207708,-0.3286,-0.2432,2.831320388349514,2.043367072857612,-0.562,7.406,-1.8355533980582526,4.117415215031621,-10.156,6.531,2.800359223300971,2.196626455176205,-2.688,7.281
still,100,0.11848482332126431,1.014356,0.0376717435752581,0.9282,1.0615,-0.046959999999999995,0.02427497476826701,-0.1074,-0.0012,-0.348277,0.05940188356441233,-0.5334,-0.2844,3.7900400000000003,3.8288247019679553,-5.062,13.312,-17.42873,25.79704684914729,-83.938,6.188,9.74158,13.451476431366187,-5.5,42.438
still,102,0.2829480971574805,0.6610774509803922,0.2709332223300235,0.1885,1.0405,-0.25821176470588236,0.13879341136402074,-0.5383,-0.0581,-0.6745460784313726,0.0984700399062126,-0.8257,-0.4866,-1.9228039215686274,18.35958503206945,-74.375,22.719,-62.908088235294116,42.839065292091256,-143.656,-2.031,93.55606862745097,36.855999111608654,31.188,144.094
still,99,0.334749276081467,0.04764444444444445,0.09376012938917691,-0.1514,0.1802,-0.2908252525252525,0.13169213282181458,-0.5273,-0.1233,-1.025910101010101,0.17441152223946899,-1.2839,-0.4946,-63.87944444444444,60.70170377457129,-145.188,8.281,-0.753767676767677,33.392033616523506,-107.531,33.562,41.11869696969697,44.82510062081008,-0.062,141.062
still,103,0.0842046393555047,0.18343980582524272,0.028395283143801634,0.1243,0.2273,-0.13350291262135922,0.006134772074807726,-0.1487,-0.1213,-1.033683495145631,0.016832285765594552,-1.0627,-1.0007,2.2224271844660195,3.902182328429766,-5.594,10.75,7.404689320388349,7.269956183718504,-3.719,20.281,0.08341747572815533,1.1225907926978285,-2.688,1.969
still,99,0.34022588021571964,0.2563757575757576,0.06176977962508147,0.175,0.3901,-0.17513131313131314,0.08923482769655165,-0.4248,-0.1204,-1.1084888888888889,0.08245596668646714,-1.2778,-1.0173,76.30175757575758,89.81080037333375,2.125,276.781,1.5368989898989898,13.260180673156247,-21.156,54.312,19.1499696969697,32.46583883471219,-4.531,114.562
still,103,0.453336165517118,-0.36804271844660197,0.42339098976474365,-1.3359,0.3613,-0.5128970873786408,0.1223800609245844,-0.7065,-0.2773,-0.022913592233009705,0.4898527478462612,-1.0652,0.4722,194.88687378640776,97.28137527338497,7.844,309.438,17.272485436893206,25.290817633676557,-26.906,73.188,122.18362135922331,32.92781688774027,-39.375,161.906
still,99,0.4467522973888791,-0.7373626262626263,0.18020428059460156,-1.3186,-0.5186,-0.47908181818181816,0.1456569134545225,-0.7166,-0.0823,0.3244313131313131,0.1093685139689236,0.0876,0.4897,34.729787878787874,41.489981427983295,-18.594,108.219,-7.380646464646464,42.92360523217427,-94.781,86.094,9.72380808080808,61.1124678500283,-120.219,107.219
forehand,103,8.175620677643556,-0.27961650485436895,0.6803009638226858,-2.6658,0.2847,0.7950388349514562,2.1180574324214008,-0.7488,7.3987,-0.02724077669902913,2.5530469405910914,-8.0,4.2253,-193.4326504854369,389.50610040084104,-1024.0,104.125,42.80733009708737,94.65160968524276,-102.281,322.5,41.292407766990294,115.07031877035622,-97.031,396.562
forehand,98,10.425879556953154,-0.014184693877551023,0.4967008867398684,-1.8076,0.5579,1.347254081632653,2.7529466758799455,-0.6802,7.9998,0.13970408163265308,2.8026094362990217,-8.0,4.259,-206.1775714285714,401.72887480905194,-1024.0,83.188,66.76978571428572,144.97704456323703,-138.812,597.062,101.10713265306123,148.83336832248708,-21.156,437.125
still,102,3.739930094421225,0.13934901960784313,0.24148098644150914,-0.7361,0.4985,-0.16040196078431374,0.8262259014290424,-0.6133,3.0095,1.0366764705882352,0.5736741849052988,0.7119,3.5872,16.33055882352941,94.3326208949651,-512.875,183.562,27.440598039215683,27.78316933785767,-45.219,74.594,-59.68567647058824,32.33597456732761,-118.281,26.906
still,104,9.262547938012275,-0.44219134615384614,1.182587755006154,-5.1035,0.6125,0.5994509615384616,1.7336605841839174,-0.4492,6.175,-1.5258288461538463,2.1262545930250702,-8.0,3.6313,-180.61897115384616,412.7604604938386,-1024.0,80.969,-46.998528846153846,200.85188797967314,-742.969,83.812,5.288499999999999,82.30265951095944,-67.531,288.969
still,100,0.2716764879480946,0.412784,0.11466652058905424,0.1858,0.5813,-0.5675399999999999,0.15011364295093235,-0.8684,-0.2898,-0.7734010000000001,0.2589113236206559,-1.0908,-0.1248,146.66378,52.78088137490317,65.219,231.344,74.32907,21.87645504795281,40.469,124.094,0.8346900000000003,25.540422669445,-30.156,58.906
